X.J1.,X.19.12.16.,X.66.48672.
J1,19:12:16,66.48672
J2,19:12:16,67.23392
J4,19:12:16,69.76377
J5,19:12:16,69.49682
J6,19:12:16,64.001236
J6A,19:12:16,57.667152
J7,19:12:16,54.886993
J8,19:12:16,43.637257
J9,19:12:16,24.534
J10,19:12:16,36.352436
J11,19:12:16,48.75896
J11A,19:12:16,31.10479
J12,19:12:16,21.091093
J13,19:12:16,65.27422
J14,19:12:16,68.231346
J15,19:12:16,68.46593
J15A,19:12:16,66.08785
J16,19:12:16,69.231606
J17,19:12:16,70
J18,19:12:16,70
J19,19:12:16,69.00954
J20,19:12:16,70
J21,19:12:16,65.07519
J21A,19:12:16,70
J22,19:12:16,70
J23,19:12:16,67.31971
J23A,19:12:16,68.836754
J24,19:12:16,69.593575
J24A,19:12:16,67.72946
J25,19:12:16,69.39756
J26,19:12:16,69.718216
J27,19:12:16,70
J28,19:12:16,59.493813
J29,19:12:16,70
J29A,19:12:16,61.939594
J30,19:12:16,49.22088
J31,19:12:16,63.108562
J32,19:12:16,48.60428
J33,19:12:16,50.222324
J34,19:12:16,54.059288
J35,19:12:16,60.894375
J35A,19:12:16,66.150375
J36,19:12:16,65.72732
J37,19:12:16,70
J38,19:12:16,70
J39,19:12:16,67.72946
J40,19:12:16,66.28692
J41,19:12:16,61.011543
J42,19:12:16,67.73547
J43|44,19:12:16,62.73009
J45,19:12:16,48.466953
J46,19:12:16,47.180798
J47,19:12:16,57.16615
J48,19:12:16,J48
X.J1.,X.19.32.49.,X.70.
J1,19:32:49,70
J2,19:32:49,68.19026
J4,19:32:49,61.990692
J5,19:32:49,62.298367
J6,19:32:49,59.030266
J6A,19:32:49,59.96395
J7,19:32:49,56.338448
J8,19:32:49,62.803337
J9,19:32:49,53.3378
J10,19:32:49,52.25746
J11,19:32:49,48.736885
J11A,19:32:49,25.460009
J12,19:32:49,25.607054
J13,19:32:49,62.202282
J14,19:32:49,66.13165
J15,19:32:49,67.22318
J15A,19:32:49,69.70482
J16,19:32:49,69.674095
J17,19:32:49,70
J18,19:32:49,65.38107
J19,19:32:49,67.108086
J20,19:32:49,66.93692
J21,19:32:49,63.578335
J21A,19:32:49,70
J22,19:32:49,70
J23,19:32:49,69.52303
J23A,19:32:49,67.43582
J24,19:32:49,68.35083
J24A,19:32:49,64.029
J25,19:32:49,66.60194
J26,19:32:49,66.736015
J27,19:32:49,70
J28,19:32:49,61.843136
J29,19:32:49,67.39403
J29A,19:32:49,61.939594
J30,19:32:49,50.730286
J31,19:32:49,62.3705
J32,19:32:49,50.540466
J33,19:32:49,48.842445
J34,19:32:49,45.98147
J35,19:32:49,57.16615
J35A,19:32:49,62.10291
J36,19:32:49,61.515297
J37,19:32:49,65.96262
J38,19:32:49,66.166725
J39,19:32:49,68.72365
J40,19:32:49,67.84801
J41,19:32:49,64.778824
J42,19:32:49,66.229645
J43|44,19:32:49,67.52527
J45,19:32:49,49.088326
J46,19:32:49,47.84558
J47,19:32:49,54.05929
J48,19:32:49,J48
X.J1.,X.20.33.00.,X.70.
J1,20:33:00,70
J2,20:33:00,66.056984
J4,20:33:00,65.572495
J5,20:33:00,68.9077
J6,20:33:00,63.37986
J6A,20:33:00,59.53127
J7,20:33:00,56.133297
J8,20:33:00,61.37618
J9,20:33:00,58.97288
J10,20:33:00,49.088326
J11,20:33:00,49.58237
J11A,20:33:00,49.088326
J12,20:33:00,47.679222
J13,20:33:00,63.64051
J14,20:33:00,63.90641
J15,20:33:00,65.28987
J15A,20:33:00,60.940514
J16,20:33:00,65.50033
J17,20:33:00,68.50076
J18,20:33:00,67.60328
J19,20:33:00,70
J20,20:33:00,66.52095
J21,20:33:00,64.66501
J21A,20:33:00,64.77202
J22,20:33:00,65.10435
J23,20:33:00,64.90477
J23A,20:33:00,66.204445
J24,20:33:00,68.9722
J24A,20:33:00,65.676735
J25,20:33:00,68.77935
J26,20:33:00,67.41784
J27,20:33:00,70
J28,20:33:00,62.475006
J29,20:33:00,70
J29A,20:33:00,59.56864
J30,20:33:00,51.461246
J31,20:33:00,61.26341
J32,20:33:00,50.128498
J33,20:33:00,48.747383
J34,20:33:00,48.190853
J35,20:33:00,64.001236
J35A,20:33:00,70
J36,20:33:00,69.455536
J37,20:33:00,68.68036
J38,20:33:00,70
J39,20:33:00,67.23236
J40,20:33:00,54.8365
J41,20:33:00,58.54734
J42,20:33:00,66.76384
J43|44,20:33:00,66.571915
J45,20:33:00,49.088326
J46,20:33:00,47.224213
J47,20:33:00,52.81655
J48,20:33:00,J48
X.J1.,X.21.18.29.,X.70.
J1,21:18:29,70
J2,21:18:29,67.97778
J4,21:18:29,67.50387
J5,21:18:29,62.233868
J6,21:18:29,60.273006
J6A,21:18:29,61.457188
J7,21:18:29,58.202557
J8,21:18:29,61.140987
J9,21:18:29,58.512154
J10,21:18:29,51.636093
J11,21:18:29,53.14591
J11A,21:18:29,54.69674
J12,21:18:29,50.387943
J13,21:18:29,60.89438
J14,21:18:29,46.22176
J15,21:18:29,65.86535
J15A,21:18:29,67.72947
J16,21:18:29,66.410385
J17,21:18:29,64.77253
J18,21:18:29,61.511578
J19,21:18:29,64.69727
J20,21:18:29,67.27926
J21,21:18:29,68.13913
J21A,21:18:29,64.04864
J22,21:18:29,61.65537
J23,21:18:29,63.944195
J23A,21:18:29,66.79172
J24,21:18:29,68.35083
J24A,21:18:29,62.10935
J25,21:18:29,63.938232
J26,21:18:29,63.13057
J27,21:18:29,62.398056
J28,21:18:29,64.16487
J29,21:18:29,66.513435
J29A,21:18:29,59.29088
J30,21:18:29,50.351196
J31,21:18:29,64.603645
J32,21:18:29,49.290894
J33,21:18:29,51.198322
J34,21:18:29,51.09021
J35,21:18:29,62.75849
J35A,21:18:29,70
J36,21:18:29,68.69614
J37,21:18:29,68.43818
J38,21:18:29,67.51481
J39,21:18:29,53.31365
J40,21:18:29,47.80162
